Country,Category,Field,Year,Status,Score Percent
Liechtenstein,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Lithuania,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Luxembourg,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Malta,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Moldova,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Monaco,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Montenegro,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Netherlands,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
North Macedonia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Norway,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Poland,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Portugal,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Romania,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Russia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
San Marino,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Serbia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Slovakia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Slovenia,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Spain,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Sweden,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Switzerland,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Turkey,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Ukraine,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
United Kingdom,Intersex Bodily Integrity,Access to justice for victims and reparations,2023,Not applied,0
Albania,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Andorra,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Armenia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Austria,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Azerbaijan,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Not applied,0
Belarus,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Not applied,0
Belgium,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Bosnia and Herzegovina,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Bulgaria,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Croatia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Cyprus,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Czech Republic,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Denmark,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Estonia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Finland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
France,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Georgia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Germany,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Greece,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Hungary,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Iceland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Ireland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Italy,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Kosovo,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Latvia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Liechtenstein,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Lithuania,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Luxembourg,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Malta,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Moldova,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Monaco,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Montenegro,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Netherlands,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
North Macedonia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Norway,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Poland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Not applied,0
Portugal,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Romania,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Russia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Not applied,0
San Marino,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Serbia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Slovakia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Slovenia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Spain,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Sweden,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Switzerland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Turkey,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Not applied,0
Ukraine,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
United Kingdom,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2022,Nationally or federally applied,0.015
Albania,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Andorra,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Armenia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Austria,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Azerbaijan,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Not applied,0
Belarus,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Not applied,0
Belgium,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Bosnia and Herzegovina,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Bulgaria,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Croatia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Cyprus,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Czech Republic,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Denmark,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Estonia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Finland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
France,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Georgia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Germany,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Greece,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Hungary,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Iceland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Ireland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Italy,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Kosovo,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Latvia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Liechtenstein,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Lithuania,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Luxembourg,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Malta,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Moldova,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Monaco,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Montenegro,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Netherlands,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
North Macedonia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Norway,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Poland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Not applied,0
Portugal,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Romania,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Russia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Not applied,0
San Marino,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Serbia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Slovakia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Slovenia,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Spain,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Sweden,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Switzerland,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Turkey,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Not applied,0
Ukraine,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
United Kingdom,Civil Society Space,"Associations operate, no state obstruction of freedom association (last 3 years)",2023,Nationally or federally applied,0.015
Albania,Family,Automatic co-parent recognition,2022,Not applied,0
Andorra,Family,Automatic co-parent recognition,2022,Not applied,0
Armenia,Family,Automatic co-parent recognition,2022,Not applied,0
Austria,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Azerbaijan,Family,Automatic co-parent recognition,2022,Not applied,0
Belarus,Family,Automatic co-parent recognition,2022,Not applied,0
Belgium,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Bosnia and Herzegovina,Family,Automatic co-parent recognition,2022,Not applied,0
Bulgaria,Family,Automatic co-parent recognition,2022,Not applied,0
Croatia,Family,Automatic co-parent recognition,2022,Not applied,0
Cyprus,Family,Automatic co-parent recognition,2022,Not applied,0
Czech Republic,Family,Automatic co-parent recognition,2022,Not applied,0
Denmark,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Estonia,Family,Automatic co-parent recognition,2022,Not applied,0
Finland,Family,Automatic co-parent recognition,2022,Not applied,0
France,Family,Automatic co-parent recognition,2022,Not applied,0
Georgia,Family,Automatic co-parent recognition,2022,Not applied,0
Germany,Family,Automatic co-parent recognition,2022,Not applied,0
Greece,Family,Automatic co-parent recognition,2022,Not applied,0
Hungary,Family,Automatic co-parent recognition,2022,Not applied,0
Iceland,Family,Automatic co-parent recognition,2022,Not applied,0
Ireland,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Italy,Family,Automatic co-parent recognition,2022,Not applied,0
Kosovo,Family,Automatic co-parent recognition,2022,Not applied,0
Latvia,Family,Automatic co-parent recognition,2022,Not applied,0
Liechtenstein,Family,Automatic co-parent recognition,2022,Not applied,0
Lithuania,Family,Automatic co-parent recognition,2022,Not applied,0
Luxembourg,Family,Automatic co-parent recognition,2022,Not applied,0
Malta,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Moldova,Family,Automatic co-parent recognition,2022,Not applied,0
Monaco,Family,Automatic co-parent recognition,2022,Not applied,0
Montenegro,Family,Automatic co-parent recognition,2022,Not applied,0
Netherlands,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
North Macedonia,Family,Automatic co-parent recognition,2022,Not applied,0
Norway,Family,Automatic co-parent recognition,2022,Not applied,0
Poland,Family,Automatic co-parent recognition,2022,Not applied,0
Portugal,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Romania,Family,Automatic co-parent recognition,2022,Not applied,0
Russia,Family,Automatic co-parent recognition,2022,Not applied,0
San Marino,Family,Automatic co-parent recognition,2022,Not applied,0
Serbia,Family,Automatic co-parent recognition,2022,Not applied,0
Slovakia,Family,Automatic co-parent recognition,2022,Not applied,0
Slovenia,Family,Automatic co-parent recognition,2022,Not applied,0
Spain,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Sweden,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Switzerland,Family,Automatic co-parent recognition,2022,Not applied,0
Turkey,Family,Automatic co-parent recognition,2022,Not applied,0
Ukraine,Family,Automatic co-parent recognition,2022,Not applied,0
United Kingdom,Family,Automatic co-parent recognition,2022,Nationally or federally applied,0.0175
Albania,Family,Automatic co-parent recognition,2023,Not applied,0
Andorra,Family,Automatic co-parent recognition,2023,Not applied,0
Armenia,Family,Automatic co-parent recognition,2023,Not applied,0
Austria,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Azerbaijan,Family,Automatic co-parent recognition,2023,Not applied,0
Belarus,Family,Automatic co-parent recognition,2023,Not applied,0
Belgium,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Bosnia and Herzegovina,Family,Automatic co-parent recognition,2023,Not applied,0
Bulgaria,Family,Automatic co-parent recognition,2023,Not applied,0
Croatia,Family,Automatic co-parent recognition,2023,Not applied,0
Cyprus,Family,Automatic co-parent recognition,2023,Not applied,0
Czech Republic,Family,Automatic co-parent recognition,2023,Not applied,0
Denmark,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Estonia,Family,Automatic co-parent recognition,2023,Not applied,0
Finland,Family,Automatic co-parent recognition,2023,Not applied,0
France,Family,Automatic co-parent recognition,2023,Not applied,0
Georgia,Family,Automatic co-parent recognition,2023,Not applied,0
Germany,Family,Automatic co-parent recognition,2023,Not applied,0
Greece,Family,Automatic co-parent recognition,2023,Not applied,0
Hungary,Family,Automatic co-parent recognition,2023,Not applied,0
Iceland,Family,Automatic co-parent recognition,2023,Not applied,0
Ireland,Family,Automatic co-parent recognition,2023,Not applied,0
Italy,Family,Automatic co-parent recognition,2023,Not applied,0
Kosovo,Family,Automatic co-parent recognition,2023,Not applied,0
Latvia,Family,Automatic co-parent recognition,2023,Not applied,0
Liechtenstein,Family,Automatic co-parent recognition,2023,Not applied,0
Lithuania,Family,Automatic co-parent recognition,2023,Not applied,0
Luxembourg,Family,Automatic co-parent recognition,2023,Not applied,0
Malta,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Moldova,Family,Automatic co-parent recognition,2023,Not applied,0
Monaco,Family,Automatic co-parent recognition,2023,Not applied,0
Montenegro,Family,Automatic co-parent recognition,2023,Not applied,0
Netherlands,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
North Macedonia,Family,Automatic co-parent recognition,2023,Not applied,0
Norway,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Poland,Family,Automatic co-parent recognition,2023,Not applied,0
Portugal,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Romania,Family,Automatic co-parent recognition,2023,Not applied,0
Russia,Family,Automatic co-parent recognition,2023,Not applied,0
San Marino,Family,Automatic co-parent recognition,2023,Not applied,0
Serbia,Family,Automatic co-parent recognition,2023,Not applied,0
Slovakia,Family,Automatic co-parent recognition,2023,Not applied,0
Slovenia,Family,Automatic co-parent recognition,2023,Not applied,0
Spain,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Sweden,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Switzerland,Family,Automatic co-parent recognition,2023,Not applied,0
Turkey,Family,Automatic co-parent recognition,2023,Not applied,0
Ukraine,Family,Automatic co-parent recognition,2023,Not applied,0
United Kingdom,Family,Automatic co-parent recognition,2023,Nationally or federally applied,0.0175
Albania,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Andorra,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Armenia,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Austria,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Azerbaijan,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Belarus,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Belgium,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Bosnia and Herzegovina,Equality & Non-Discrimination,Blood donations,2022,P,0.0091
Bulgaria,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Croatia,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Cyprus,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Czech Republic,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Denmark,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Estonia,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Finland,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
France,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Georgia,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Germany,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Greece,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Hungary,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Iceland,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Ireland,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Italy,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Kosovo,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Latvia,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Liechtenstein,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Lithuania,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Luxembourg,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Malta,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Moldova,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Monaco,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Montenegro,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
Netherlands,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
North Macedonia,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Norway,Equality & Non-Discrimination,Blood donations,2022,Not applied,0
Poland,Equality & Non-Discrimination,Blood donations,2022,Nationally or federally applied,0.0091
